game-design.game-feel.combat | ~ | How attacking and being hit feels: impact, weight, feedback.
game-design.progression.unlock-pace.no-credit-for-the-earlier-game | - | The reviewer wants progress credited for the time they spent in the studio's earlier game, and there is none.
game-design.progression.unlock-pace.needs-a-team-to-level-and-levels-to-find-a-team | - | The player needs levels to reach the difficulties where others play, and needs other players to gain the level
game-design.progression.unlock-pace.finishing-pays-nothing | - | Completing a campaign or a task gives no real reward. **Distinct from `game-design.game-feel.reward-moment.the
game-design.progression.unlock-pace.rank-decays-if-you-stop-playing | - | A rank or standing drops when the player is inactive, so a break costs them. Closes gap 339.
game-design.progression.unlock-pace.each-mode-levels-separately | - | Levels earned in one mode do not count in another, so the player levels twice. Closes gap 346.
game-design.progression.unlock-pace.levelling-up-feels-like-nothing | - | Gaining levels brings no felt change - nothing stronger, nothing new - and the reviewer names no cause. **Dist
game-design.progression.unlock-pace.pays-for-finishing-not-for-playing | - | Experience or rewards come for completing a mission, not for what the player does in it, so rushing through is
game-design.progression.unlock-pace.the-classes-should-all-be-open-from-the-start | - | The reviewer wants every class or archetype available at the start instead of unlocked through play.
game-design.progression.unlock-pace.little-reason-to-keep-going | - | The game offers few firm incentives to keep progressing from early on. **Distinct from `.nothing-left-to-chase
game-design.progression.unlock-pace.an-unlock-challenge-is-a-chore | - | One specific unlock condition is annoying, luck-bound or tedious to meet, and the reviewer names it.
game-design.progression.unlock-pace.the-endgame-is-only-more-unlocks | - | The only thing after finishing is unlocking another character or ability to do the same again.
game-design.progression.unlock-pace.some-gear-needs-a-clan | ~ | Some weapons or items can only be made with a clan, and the reviewer says what that takes.
game-design.progression.unlock-pace.the-game-sets-no-goals | - | The game gives no goals of its own; the player has to make them. Round 396's note.
game-design.punishment-model.one-mistake-locks-content-away | - | Failing a quest or a moment once shuts the player out of content for good - a weapon, a path, an ending. Close
game-design.readability.guidance-feels-patronising | - | The game steers the player to the objective - a path, a push - when they have not asked, and they feel talked 
game-design.readability.the-numbers-grow-too-big-to-mean-anything | - | Damage, health or stat numbers are so large, or inflate so fast, that they stop telling the player anything - 
game-design.role-design.classes-exist-to-stretch-the-grind | - | The reviewer reads the class system as a way to make them level several times, and would rather have loadouts.
game-design.solo-viability.solo-play-keeps-the-multiplayer-rules | - | Playing alone still runs the rules built for a group - a lobby countdown, a timer - with nothing changed for o
game-design.ai-teammates.bots-cost-currency-every-run | - | The AI teammates must be bought with in-game currency at the start of each solo session. Closes gap 322.
game-design.ui-ux.prompts-show-the-wrong-button | - | On-screen prompts show the default key or another controller's buttons, not what the player is actually using.
game-design.ui-ux.a-default-setting-is-not-what-the-studio-says | - | A setting ships in a state the studio has said it is not in - voice chat on when the studio says it is off. Cl
game-design.ui-ux.menus-are-slow-web-pages | - | Shop or event screens are web pages loaded into the game, so each click waits and the game looks frozen. Close
game-design.ui-ux.starts-on-the-highest-settings | - | The game's first launch puts the graphics at maximum, whatever the machine. Closes gap 152.
game-design.ui-ux.forgets-your-settings-between-launches | - | Settings - brightness, subtitles, graphics, even the licence agreement - must be set again every time the game
game-design.ui-ux.several-loadouts-can-be-saved | + | The player can save several class and weapon presets and pick one to suit the mission. **The positive twin of 
game-design.ui-ux.fast-travel-comes-late-and-costs | - | Fast travel exists but opens only well into the game, or each point costs currency, so the player walks back a
game-design.ui-ux.lets-you-waste-a-consumable | - | The game lets the player use a healing or status item when it does nothing, wasting something rare.
game-design.ui-ux.the-map-has-no-compass | - | The map or minimap shows no cardinal directions, so the player cannot tell which way they are going.
game-design.ui-ux.no-confirmation-before-a-costly-action | - | An action that loses progress - quitting a run, leaving to the menu - has no confirmation, so one wrong press 
review.takes-back-an-earlier-complaint | ~ | The reviewer withdraws something they complained about before, saying it was their own mistake. **Distinct fro
game-design.co-op-design.the-map-is-not-shared | - | Map exploration done by one player does not show on a teammate's map.
game-design.progression.unlock-pace.the-grind-crowds-out-the-game | - | The cycle of grinding, building and customising takes precedence over playing, so the game is about numbers go
game-design.level-design.the-boss-arena-can-roll-badly | - | A randomly chosen boss arena can be cramped or a cliff edge, which makes the fight far harder on high settings
live-ops.patch-quality.fixes-what-suits-the-studio-first | - | A defect that hurts players stays for months while one that helped players is fixed within a day. Closes gap 3
live-ops.patch-quality.removes-what-players-worked-out | - | The studio takes out the creative ways players found to play. **Distinct from `.nerfs-what-players-liked`**, w
live-ops.patch-quality.the-planned-content-is-only-cosmetics | - | The roadmap or the updates bring skins and emotes, not levels or systems, and the reviewer reads it as no real
live-ops.patch-quality.a-fix-was-rolled-back | - | A fix shipped and was then reverted. Closes gap 193.
live-ops.patch-quality.the-fix-came-too-late | - | A wanted change arrived after the players had already left. Closes gap 202.
live-ops.patch-quality.an-update-reads-as-a-rescue-attempt | - | The reviewer reads a new add-on or update as a last effort to save the game rather than as good content. Close
live-ops.patch-quality.each-update-is-a-content-island | - | Each major update adds a self-contained area unrelated to the others, with little reason to return once it is 
live-ops.abandonment.a-system-was-left-half-finished | - | A system the game shipped with - ship modules, weapon customisation - was left unfinished. Closes gap 34.
live-ops.abandonment.its-failure-cancelled-other-games | - | The reviewer says this game's failure got the studio's other projects - sequels, future games - cancelled. Clo
community.developer-communication.what-a-cheater-took-was-given-back | + | The player lost gear to a cheater, the cheater was banned, and the studio returned what was lost. **The positi
publishing.monetisation-practice.what-i-bought-was-weakened-later | - | Something bought with real money or paid currency was weakened soon after. Closes gap 15.
live-ops.update-cadence.one-region-gets-content-first | - | One country or region gets new content while everyone else waits months for it. Closes gap 344.
live-ops.update-cadence.promised-content-keeps-slipping | - | Announced content - a DLC, an update - is delayed again and again. **Distinct from `.awaiting-promised-content
live-ops.update-cadence.slow-but-worth-the-wait | + | Big updates are rare, and the reviewer says each one is worth the wait. **The positive reading of `.too-slow`.
live-ops.patch-quality.new-items-thin-out-the-pool | - | Adding more items to a random pool makes each run's draw weaker, especially when the new items are bad. Round 
marketing.discovery.a-reward-campaign-farms-installs | - | The reviewer says an outside reward campaign exists to push download numbers for store ranking, not to find pl
marketing.discovery.sat-unplayed-before-it-clicked | + | The player owned the game for a long time without playing it, finally did, and wishes they had sooner. Closes 
marketing.discovery.bought-it-ahead-of-the-sequel | ~ | The player bought this game to catch up before its sequel comes out. Closes gap 306.
marketing.discovery.launched-in-the-shadow-of-a-bigger-game | - | The reviewer says the game went unnoticed because it launched next to a bigger title.
marketing.discovery.came-from-a-rival-that-failed-them | ~ | The player names another game that let them down - broken multiplayer, a bad update - as why they came to this
marketing.discovery.found-it-in-the-store | ~ | The game reached the player through the store itself - a discovery queue, a front page, a recommendation list.
marketing.expectation-management.sold-as-finished-and-unfinished-at-once | - | The store sells the game as a full release and as early access at the same time, which contradict each other. 
marketing.positioning.does-not-know-what-it-is | - | The reviewer says the game borrows from several kinds of game and never settles into an identity of its own.
marketing.positioning.a-game-not-a-service | + | The reviewer praises the game for feeling like a complete game rather than a live service. Round 347's note.
marketing.reputation.also-recommends-another-game | ~ | The reviewer tells readers to try another named game as well - not instead. **Distinct from `.beaten-by-a-comp
marketing.reputation.good-material-for-a-video | + | A reviewer who makes videos or streams says the game gave them hours of content and memorable moments to show.
marketing.reputation.wants-this-formula-in-another-licence | + | The reviewer wants the studio to apply this game's design to another film or series. Closes gap 228.
marketing.reputation.traces-the-studios-lineage | ~ | The reviewer traces the studio back through its earlier names and games to explain who made this. Closes gap 2
marketing.reputation.still-holds-up-years-later | + | The reviewer says the game still plays well years after release. **The positive twin of `.the-design-is-a-deca
marketing.reputation.streamers-play-a-different-game | - | The reviewer says the game shown by streamers - friendly strangers, organised teams - is not the one an ordina
marketing.reputation.suspects-the-early-ratings | - | The reviewer distrusts how the game's rating was built before release and gives a negative thumb partly for th
marketing.reputation.a-rebuke-to-the-rest-of-the-industry | + | The reviewer praises the game as a reminder of what the industry has lost - made for players, not to milk them
marketing.reputation.likes-the-people-running-the-studio | + | The reviewer praises the studio's leadership or its public stance. **The positive twin of `.studio-politics-pu
marketing.reputation.worse-now-than-at-launch | - | The reviewer says the game has fallen from where it started. **The inverse of `.recovered-over-time`.**
review.written-to-pull-the-score-back | ~ | The reviewer says they are adding a positive review deliberately to offset what they see as unfair negatives. 
publishing.monetisation-practice.sells-with-restraint | + | The reviewer praises the game for not pushing a constant stream of things to buy.
narrative.characters-writing.in-jokes-replace-the-writing | - | Lines that once carried lore or directions are replaced with in-jokes and banter from the studio's own communi
narrative.characters-writing.the-best-lines-rarely-play | - | The writing that builds the characters exists, but the game plays those lines so rarely that players seldom he
narrative.characters-writing.your-own-character-is-nobody | - | The player's own character has no personality or story of their own. Closes gap 251.
narrative.story.the-full-story-is-in-a-tie-in-book | ~ | The reviewer says the story behind the game is told in a book or other work outside it, and points readers the
narrative.story.makes-sense-only-if-you-know-the-source | - | The story draws its events and lore from books or other games most players have not read, so it reads as nonse
narrative.story.the-last-games-hero-is-left-out | - | A sequel drops the earlier game's main character with little or no mention. Round 318's note.
narrative.story.the-play-and-the-story-do-not-match | - | What the player does in play feels disconnected from what the story says is happening - a quip and an easy kil
narrative.story.spoils-the-earlier-game | - | A sequel gives away the earlier game's story early on, so the reviewer tells readers to play the earlier game 
narrative.story.earlier-choices-do-not-carry-over | - | Decisions the player made in the earlier game have no effect in this one. Round 341's note.
narrative.story.kept-cryptic-on-purpose | ~ | The reviewer says the story is written to stay unclear on purpose, so players keep guessing between updates. R
narrative.story.a-twist-took-away-the-fantasy | - | A reveal partway through the story changes who the player is and takes away the fantasy or the tension they we
narrative.tone.cosmetics-break-the-tone | - | Emotes, hats, decals or other cosmetics clash with the mood of the game and break the player's immersion. Clos
narrative.world-and-setting.the-world-is-never-explained | - | The game does not explain its own world - what the enemies are, what the lore means - and leaves the player to
narrative.world-and-setting.adds-to-the-source-without-harming-it | + | The adaptation adds to the book, film or series and the reviewer says it does no damage to it. **The positive 
narrative.world-and-setting.works-for-people-new-to-the-source | + | The reviewer is not a fan of the book, film or series and still enjoyed the game. **The counterpart of `.only-
narrative.world-and-setting.the-faithful-version-must-be-unlocked | - | A thing from the source is in the game in a form that is wrong, and the correct version has to be earned. **Di
narrative.world-and-setting.what-you-do-never-changes-the-world | - | The player wants their missions or runs to change something in the game's world and they do not. Closes gap 34
game-design.ui-ux.an-option-exists-and-is-hard-to-find | - | The setting the player wants is in the game, but nothing shows them where, so they only learn of it from someo
game-design.new-player-experience.guides-you-without-holding-your-hand | + | The game tells the player where to go - the zone, the goal - without leading them there step by step, so they 
game-design.new-player-experience.learn-it-alone-before-joining-others | ~ | The reviewer advises new players to learn the game on their own before playing with a group. Round 351's note.
community.social-features.nothing-shows-others-what-you-earned | - | The player puts in the work and other players have no way to see or recognise it. Round 388's note.
community.social-features.the-studio-chat-helps-you-find-a-team | + | The reviewer points players without friends to the studio's chat server as a good place to find a group. **The
game-design.power-balance.a-weapon-fails-at-its-own-job | - | A weapon or tool is weak at the one thing it exists to do - an anti-armour launcher that does little to armour
production.content-amount.worried-it-will-run-dry | - | The reviewer fears the game will run out of content or burn out soon, before it has. Round 346's note.
production.content-amount.wants-more-because-it-is-good | + | The reviewer asks for more DLC, characters or content as praise - they want any excuse to play more. **Distinc
production.content-variety.side-content-is-empty-errands | - | The optional missions are small errands that pay little and give the player no wish to do them. Closes gap 78.
production.content-variety.repetition-comes-with-the-genre | ~ | The reviewer names the repetition and says it is the nature of this kind of game. Closes gap 207.
production.content-variety.repetitive-and-still-fun | ~ | The reviewer names the repetition and says the game is fun anyway. **Distinct from `.repetitive`**, where the 
production.content-variety.the-randomisation-is-only-surface | - | The game's level randomisation changes something trivial - where a crate spawns - and never the route or the g
production.content-variety.wants-more-than-shooting | - | The reviewer wants missions to ask for something besides fighting - puzzles, minigames. Closes gap 287.
production.craftsmanship.barely-playtested | - | The reviewer says the game feels as if it was hardly tested by anyone before release. Closes gap 57.
production.craftsmanship.a-parody-of-a-big-budget-game | - | The reviewer says the game feels like an imitation of a big-budget game rather than the real thing. Closes gap
production.craftsmanship.placeholder-text-left-in | - | Items or menus show internal code names or placeholder text instead of the names players are meant to read. **
production.craftsmanship.only-the-licence-holds-it-up | - | The reviewer says the film or series branding is doing all the work, and without it the game would be low qual
production.early-access.hopes-the-updates-prove-this-wrong | ~ | The reviewer says they want to like the game and hopes later updates will make their review out of date. Round
production.early-access.still-called-unfinished-years-later | - | The studio still labels the game a beta or early access years after it came out. Round 386's note.
production.launch-state.the-team-was-too-small | - | The reviewer says too few people, or too few experienced people, made the game for what it set out to be. **Li
game-design.level-design.buildings-you-cannot-enter | - | Most buildings are scenery the player cannot walk into, in a game that asks them to explore. Closes gap 61.
production.scope-mismatch.reads-as-a-changed-plan | ~ | The reviewer says the game feels as if the studio started with a different idea and settled for this one. Clos
game-design.progression.complexity.the-learning-curve-is-well-paced | + | The reviewer praises how the game's learning curve is paced. **Distinct from `.rewarding-once-learned`**, whic
publishing.availability.one-purchase-covers-two-platforms | ~ | The reviewer says buying the game on one platform or store also gives a copy on another, and suggests buying i
publishing.availability.the-shop-is-blocked-in-my-country | ~ | The game can be played where the reviewer lives, but its in-game shop is switched off there by law. **Distinct
publishing.data-and-privacy.worried-about-account-security | - | The reviewer has heard of a security weakness or of players' accounts being hacked, and says so. Closes gap 23
publishing.data-and-privacy.accused-of-mining-currency | - | The reviewer says or suspects that the game secretly uses their computer to mine digital currency. **Distinct 
publishing.data-and-privacy.the-agreement-strips-buyer-rights | - | The user agreement tries to take away protections the law gives buyers. Closes gap 172.
publishing.dlc-and-editions.should-give-the-dlc-away-to-make-amends | - | The reviewer says the studio should hand out its paid add-ons free to make up for how bad the game has been. C
publishing.dlc-and-editions.the-add-on-lets-more-people-play | ~ | The reviewer notes that a paid add-on raises how many players can be in one group. Closes gap 225.
publishing.dlc-and-editions.a-paid-pack-is-worth-it-for-the-head-start | + | The reviewer recommends a paid pack because the currency or items in it give a good start. Closes gap 294.
publishing.dlc-and-editions.sold-as-old-style-add-ons | + | The reviewer likes that new content is sold as separate add-ons, like the map packs of older games, rather tha
publishing.dlc-and-editions.got-only-part-of-the-add-on | - | The player bought an add-on and got only part of what they expected from it - one mode, and not the story. Rou
publishing.dlc-and-editions.a-weaker-add-on-still-welcome | ~ | The reviewer calls an add-on a let-down and excuses it in the same breath - it is still more content. Round 37
publishing.dlc-and-editions.pricey-but-worth-it | ~ | The reviewer says the add-ons cost a bit much, or to wait for a sale, and that they are good. **Distinct from 
game-design.new-player-experience.dropped-into-the-add-on-first | - | The game starts the player inside an add-on's content instead of the base game, against enemies they are not r
publishing.monetisation-practice.the-pass-does-not-pay-for-the-next | - | Finishing a battle pass gives back no currency towards buying the next one. Closes gap 144.
publishing.ownership.the-owner-is-not-disclosed | - | The store page does not say which company owns or funds the studio, and the reviewer reads that as a warning s
publishing.ownership.put-off-by-the-country-it-comes-from | - | The reviewer dismisses the game because of the country it was made in. **Records the objection, not whether it
publishing.ownership.dislikes-the-owner | - | The reviewer shows dislike of the company that owns the game - a curse, a jab, a "despite them" - without sayi
publishing.ownership.the-new-owner-cares-less-than-the-makers | - | The game passed from the studio that made it to a new owner, and the reviewer says the new owner has not put i
publishing.price.the-discount-for-owning-the-last-game-is-too-small | - | Owners of the earlier game get a discount on this one, and the reviewer calls it too small to count. Closes ga
publishing.price.dropped-so-fast-launch-buyers-lost-out | - | The price fell soon after release, and the reviewer says the people who paid at launch were overcharged. Close
publishing.price.worked-out-as-price-per-hour | ~ | The reviewer judges the price by what it cost per hour played - a dollar an hour, quarters in an arcade machin
publishing.sale-dependency.the-sale-came-after-the-players-left | - | The reviewer waited for a discount, and by the time it came the player base was gone. Closes gap 304.
publishing.sale-dependency.wait-for-the-fixes-before-buying | - | The reviewer tells readers to wait until the studio fixes the game's problems before buying - not for a lower 
game-design.punishment-model.dying-makes-the-next-try-harder | - | Each death makes the next attempt harder - a stronger enemy spawns - so failing makes it harder to recover. Ro
publishing.refund.try-it-and-refund-if-not | + | The reviewer points to the store's refund window as a reason to try the game with no risk. Round 353's note.
game-design.replayability.interest-comes-and-goes-in-waves | ~ | The reviewer says the game goes from fun to boring and back again in a cycle. Round 392's note.
review.explains-their-own-reviewing-rule | ~ | The reviewer states a personal rule for when they write reviews - only after finishing a game, say - and says 
review.says-a-language-model-proofread-it | ~ | The reviewer says they ran the review through a language model to proofread it before posting. **Distinct from
review.judges-later-content-from-videos | ~ | The reviewer extends the verdict to parts of the game they have not played, based on watching creators who hav
review.kept-as-a-log-of-reward-campaigns | ~ | The review is kept up to date as a list of the dates the game was used as a reward in someone else's promotion
review.describes-a-different-game | ~ | The review's body describes another game entirely - its price, its rules, its levels - filed under this one. *
review.checked-the-source-to-settle-a-claim | ~ | The reviewer went back to the book, film or series itself - rewatched it, counted scenes - to settle a point a
review.asks-readers-for-help | ~ | The reviewer uses the review to ask other players whether they know what is going on or how to fix a problem. 
review.thumb-down-over-one-thing-in-a-game-they-love | ~ | The reviewer calls the game great and gives a thumb down over a single named decision. **Distinct from `.thumb
review.points-to-a-video-to-make-the-case | ~ | The reviewer points readers at a named video to show what the game is like, instead of describing it. Closes g
review.apologises-for-their-own-writing | ~ | The reviewer apologises for how their own writing reads - their English, or that it may sound machine-written.
review.is-only-a-link | ~ | The whole review is a link - to a screenshot, a page - with no claim in words. Closes gap 290.
review.says-who-it-is-written-for | ~ | The reviewer says up front which readers the review is meant for - newcomers, veterans. **Distinct from `.says
review.takes-a-side-in-a-dispute-between-players | ~ | The review is about a public dispute between players, streamers or community staff, and takes a side, saying n
review.posted-under-both-games-in-the-series | ~ | The reviewer says the same review text is posted under two games in a series, written after playing both. Roun
review.reads-like-a-store-blurb | ~ | The review is written like marketing copy - general praise of every feature - often with no time played. Round
community.player-conduct.players-make-excuses-for-the-studio | - | Other players defend a missing feature or a studio decision, and the reviewer calls their explanations excuses
publishing.price.worth-the-money-but-not-the-time | ~ | The reviewer frames the verdict as the game being worth its price but not, at present, worth the hours it asks
production.craftsmanship.refuses-a-game-made-with-generative-ai | - | The reviewer will not support the game because some of it was made with generative AI, whatever its quality. *
production.craftsmanship.so-bad-it-is-good | + | The reviewer enjoys the game because its faults are funny - so bad it is good. Closes gap 67.
engineering.bugs.fixing-it-is-not-the-players-job | - | The reviewer says player-made fixes may exist and refuses to use them on principle - they paid for a game that
game-design.role-design.defends-a-character-others-call-weak | + | The reviewer argues against the players who call a character the worst on the roster. **The answer to `.role-u
game-design.role-design.too-few-abilities-per-character | - | The reviewer wants each character to have more abilities to play with; some feel too simple. **Distinct from `
community.user-created-content.an-update-broke-the-mods | - | A studio update or a change of owner broke the mods players relied on. **The other side of `.mods-fix-what-the
game-design.world-interaction.the-interact-key-picks-the-wrong-thing | - | One button does several jobs, and the game picks the wrong one - it picks up ammo when the player means to rev
game-design.world-interaction.wait-for-the-npc-before-you-can-talk | - | The player has to wait for a character's idle animation to finish before the game lets them interact. Round 33
game-design.enemy-design.one-enemy-is-overtuned | - | The reviewer names one enemy type as too strong and wants it toned down. **Distinct from `.one-enemy-type-is-h
game-design.game-feel.combat.feels-bad-even-when-played-well | - | The reviewer uses every mechanic properly - parries, dodges - and says the combat still does not feel good. Ro
game-design.progression.achievements.does-not-say-what-is-missing | - | An achievement stays locked and the game gives no sign of which requirement is still missing. **Distinct from 
community.culture.the-community-completes-the-game | + | The reviewer says following the community and the game's news outside the game is part of the experience, and 
publishing.monetisation-practice.you-end-up-paying-sooner-or-later | - | The reviewer warns that a free game will cost money in the end, whatever the player intends. **Distinct from `
publishing.monetisation-practice.advises-what-not-to-spend-on | ~ | The reviewer tells readers not to spend money in the game, or names the only purchases worth making - slots, s
production.content-variety.more-to-do-than-fighting | + | The reviewer praises the game for giving the player things to do besides fighting. **The positive twin of `.wa
engineering.platform-support.clumsy-on-a-phone | - | The phone version works but is hard to play - the screen is cluttered with menus and the touch controls are we
community.player-conduct.a-teammate-sets-off-a-trap-on-you | - | Another player triggers a trap or hazard in the level - lasers on a defence mission - and it kills the reviewe
marketing.discovery.tried-it-because-it-was-free | ~ | The player names the game being free, and fitting their group, as why they picked it up. **Deliberately neutra
game-design.game-feel.controls.the-steam-overlay-shortcut-clashes | - | The store's overlay shortcut gets in the way of the player's control scheme, so they play outside the store's 
narrative.story.the-story-got-worse-over-time | - | The reviewer says the story, lore or tone has gone downhill since a named point, and the newer writing puts th
game-design.enemy-design.bosses-hide-behind-invulnerable-phases | - | Boss fights are built around stretches where the boss cannot be hurt, and the reviewer names that as what make
community.social-features.recruiting-is-a-wall-of-chat | - | Finding a group means reading a chat channel of fast-moving text. **Distinct from `.the-player-market-works-ba
production.content-variety.every-reward-comes-from-the-same-missions | - | The rewards the player wants all come from the same small set of missions, so they replay those while the rest
live-ops.patch-quality.fixes-come-within-hours | + | The reviewer says a glitch is fixed within minutes or hours of being found. **Distinct from `.fixed-what-matte
live-ops.patch-quality.each-update-adds-more-grind | - | Every update brings new resources, gear or modes to grind for, so the grind never shrinks. **Distinct from `.t
review.written-as-a-diary-at-hour-marks | ~ | The review is written in dated or hour-marked entries - 30 hours, 50 hours, 100 hours - to record how the revi
game-design.progression.unlock-pace.the-endgame-is-within-reach | + | The reviewer says the late or endgame content is not too hard to get to. Warframe 23318065.
engineering.platform-support.better-here-than-elsewhere | + | The reviewer says this version plays better than the game on another platform. **The inverse of `.better-elsew
publishing.monetisation-practice.a-fair-business-model | + | The reviewer calls the way the game makes money fair, without naming what it sells. **Distinct from `.cosmetic
game-design.modes.forced-into-a-mode-you-dislike | - | Items or gear the player needs come only from a mode they dislike, so they must play it anyway. **Distinct fro
live-ops.patch-quality.courts-new-players-at-the-veterans-expense | - | The reviewer says the studio changed the game to bring in new players and lost its long-time players by doing 
game-design.new-player-experience.returning-players-get-no-catch-up | - | A player coming back after patches is dropped straight in, with nothing to explain what changed, and has to re
game-design.ui-ux.the-interface-keeps-changing | - | Patches keep moving the menus and screens, so the player has to relearn the interface. Warframe 25276661.
game-design.randomness.the-best-gear-is-not-left-to-chance | + | The reviewer thanks the studio for making the endgame weapons something the player works towards rather than a
publishing.monetisation-practice.the-shop-hides-a-requirement | - | The shop sells an item without saying that the player must meet a requirement - a rank, a level - before they 
game-design.role-design.some-characters-are-hard-to-master | - | The reviewer lists some characters as difficult to master, as a con. Warframe 25912976 (Limbo).
narrative.story.lost-on-new-players | - | The reviewer says a part of the story will make no sense to someone new to the game, because it leans on what 
live-ops.patch-quality.each-update-brings-new-bugs | - | Every release brings new or returning bugs, and can leave the game unplayable for a day or two. **Distinct fro
game-design.game-feel.combat.projectiles-too-slow-to-hit | - | Arrows or other projectiles travel so slowly that the targets - other players, fast enemies - move out of the 
art.effects-and-gore.plenty-of-gore | + | The reviewer names the amount of gore as part of the appeal. **The twin of `.too-little-gore`.** Warframe 3116
art.effects-and-gore.warns-younger-players-about-the-blood | ~ | The reviewer warns younger players, or anyone afraid of blood, about the gore. **Deliberately neutral**: a war
game-design.progression.build-and-customisation.cannot-change-or-restart-your-character | - | The player wants to change their character or start it over, and the game does not allow it. Warframe 31006252
game-design.progression.unlock-pace.a-blueprint-needs-materials-from-further-on | - | The game hands the player a recipe or blueprint whose materials only come from places several steps further on
live-ops.patch-quality.new-content-is-filler | - | The reviewer calls the latest content filler, not worth coming back for. **Distinct from `.the-updates-add-to-
community.playing-with-friends.start-together-rather-than-late | ~ | The reviewer advises friends to start the game together, because pulling a friend in once you are far ahead wo
community.developer-communication.threatened-a-player-with-legal-action | - | The reviewer reports the studio threatening a player with legal action - for datamining, say - and says they l
marketing.positioning.drifted-from-its-original-idea | - | The reviewer says the game has moved away from the idea it started with - ninjas became four killing machines 
game-design.progression.build-and-customisation.wants-to-grow-one-character-instead-of-collecting | - | The reviewer wants to pick one character and grow it, rather than farm many characters and reset them to reach
game-design.ui-ux.nags-you-to-take-a-break | - | The game keeps reminding the player to take a break after an hour or so, and the reviewer resents it. Warframe
game-design.ui-ux.text-hard-to-read-on-the-background | - | Text on a screen is hard to read against the background behind it. Warframe 32653861 (the junction requirement
game-design.co-op-design.puts-you-in-public-games-by-default | - | A new player is put into public groups without being asked. **Distinct from `community.social-features.no-priv
game-design.session-flexibility.the-next-mission-starts-without-asking | - | A countdown sends the player into the next mission while they are still in menus, without asking. Warframe 357
community.playing-with-friends.a-way-to-stay-in-touch | + | The reviewer played to stay in touch with a friend who moved away. **Distinct from `.a-keepsake-of-someone-gon
publishing.monetisation-practice.the-store-would-not-take-their-money | - | The player tried to buy premium currency and the purchase page did not work. Warframe 33752996.
game-design.difficulty-tuning.the-endgame-demands-the-meta | - | The late content is built around tough, hard-hitting enemies, so the only way through is the build the communi
community.player-conduct.chat-moderators-play-favourites | - | The reviewer says the game's chat moderators were chosen by favouritism and their bans cannot be appealed. War
engineering.access.banned-for-someone-elses-fraud | - | A player who traded with someone using stolen payment details can lose their own account, with no way to appea
game-design.punishment-model.failing-still-pays-something | + | A failed mission still pays out part of what it earned - some experience - so failing does not feel wasted. **
game-design.level-design.no-invisible-walls | + | Almost every place the player can see, they can reach; few invisible walls stop them. **The positive twin of `
review.turned-off-comments-on-the-review | ~ | The reviewer says they disabled comments on their own review because of the replies it drew. Warframe 41512880
game-design.modes.the-pvp-is-good | + | The reviewer calls the player-versus-player mode cool or balanced. **The positive side of `.a-mode-falls-flat`
community.player-conduct.the-chat-filter-bans-for-harmless-words | - | The automatic chat moderator bans players for harmless words or numbers. Warframe 42200064 (a week's ban for t
community.developer-communication.heavy-handed-support | - | The reviewer calls the studio's support draconian - quick to ban, slow to hear the player out. Warframe 424131
marketing.promise-vs-reality.a-promised-reward-never-arrived | - | A reward the player was promised - a promo code, a free item from an offer - never reached them. Warframe 4338
live-ops.update-cadence.consoles-get-updates-later | - | Console players get the big updates after the PC version, and have to dodge spoilers meanwhile. **Distinct fro
community.player-conduct.a-strong-player-kills-everything-first | - | A much stronger player matched into a low-level mission kills everything so fast that the others never get to 
game-design.progression.cosmetic-rewards.an-unwanted-look-is-forced-on-you | - | The game puts a visual change on the player's character that they do not want - a growth, a blemish - and make
engineering.access.the-display-settings-broke-the-game | - | Changing a display setting - full screen, resolution - left the game in a state the player's screen could not 
game-design.game-feel.movement.good-for-travel-restrictive-in-combat | - | The movement is quick for getting across a level but feels restrictive once fighting starts. Warframe 43990657
game-design.readability.the-level-number-misleads | - | A mission's level number does not tell the player what challenge to expect with gear of the same level. Warfra
community.player-conduct.the-name-filter-rejected-a-harmless-name | - | The game refused a name or alias the player thought harmless, calling it offensive, and the player took it as 
narrative.story.the-lore-was-rewritten | - | The studio changed established story facts - a faction's origin, its history - and quietly edited old quest di
live-ops.patch-quality.new-systems-build-on-the-old | + | An update added a system that works alongside the existing ones instead of replacing them, so both stay useful
game-design.ui-ux.the-map-does-not-mark-the-objective | - | The map does not show where a mission or destination is, so the player has to hunt for it. Warframe 44879207.
community.developer-communication.support-put-things-right | + | The studio's support answered and undid a player's mistake or loss - restored items sold by accident. **The ot
game-design.progression.build-and-customisation.any-gear-can-carry-you | + | Whatever weapon or gear the player likes can take them through almost all of the game, so they can use their f
game-design.progression.complexity.the-depth-is-optional | + | The game has deep mechanics for players who love learning them, but a casual player can enjoy it without knowi
game-design.replayability.burned-out-only-after-years | + | The reviewer has finally burned out, but only after years and many hundreds of hours, which they count in the 
engineering.stability.the-game-uninstalled-itself | - | The game removed itself from the player's machine without being asked, so they had to install it again. Warfra
game-design.enemy-design.a-boss-needs-one-setup | - | A boss fight can only really be done with one particular team or gear setup. **Distinct from `difficulty-tunin
game-design.game-feel.controls.rebinding-broke-the-controls | - | The player changed the key bindings and the controls stopped working - most actions no longer respond - with n
narrative.world-and-setting.the-lore-contradicts-itself | - | Parts of the lore clash with other parts - paradoxes and dead ends the reviewer wishes the studio would sort o
game-design.game-feel.controls.the-controller-does-not-work | - | The game does not respond to the player's controller at all, and nothing they try fixes it. **Distinct from `.
