# Single-sighting backlog, built from tag-tree-open-gaps.md on 2026-09-24 (Rule C). Size bound: one row per parked note, ~500 rows.
# status: open | built rNNN <mode> | existing rNNN <mode> | skip: <why> | check: <why>
status	gaps_line	ref	kind	game	parked_on	review_ids	dir	proposed	quote
built r415 production.content-amount.wants-more-because-it-is-good	8808	round 364	one-sighting	risk-of-rain-2	production.content-amount.unknown	128128319	+	a wish for more DLC/characters said as praise	needs more DLCs, or more characters for the extra slots
built r415 production.content-amount.wants-more-because-it-is-good	8857	round 367	one-sighting	risk-of-rain-2	production.content-amount.unknown	145882843	+	make more DLC (like 128128319)	make more DLC
built r415 production.content-variety.side-content-is-empty-errands	2230	gap 78	open-gap	redfall	production.content-variety.repetitive	218919304	-	optional side content is errands that pay nothing	side missions felt like random little errands that didnt give much or desire to do
existing r415 re-homed to production.content-variety.the-generation-adds-nothing	4378	gap 170	watch	terminull-brigade	production.content-variety.repetitive	221339205	-	generated levels used in place of designed ones	
existing r415 re-homed to game-design.power-balance.options-feel-identical	4381	gap 173	one-sighting	terminull-brigade	production.content-variety.repetitive	217842597	-	weapons are not meaningfully different from each other	
built r415 production.content-variety.repetition-comes-with-the-genre	4865	gap 207	open-gap	aliens-fireteam-elite	production.content-variety.repetitive	102381886	~	repetition excused as the nature of the genre (fault defended as correct)	Game play can get repetitive quickly, but I think its that type of game.
built r415 production.content-variety.the-randomisation-is-only-surface	5047	gap 215	open-gap	aliens-fireteam-elite	production.content-variety.unknown	109676560	-	promised level randomisation only moves something trivial (a loot crate)	the randomization of the levels is basically limited to where your obligatory hidden loot crate will spawn
built r415 production.content-variety.repetitive-and-still-fun (184877306, 130936199; 165385875 and 113919244 stay on repetitive)	6175	gap 271	open-gap	aliens-fireteam-elite	production.content-variety.repetitive	184877306 130936199 165385875 113919244	~	the repetition is named and forgiven (repetitive but fun)	Expected it to feel repetitive and boring... but instead it's repetitive and fun lol.
built r415 production.content-variety.wants-more-than-shooting	6462	gap 287	open-gap	aliens-fireteam-elite	production.content-variety.unknown	206046626	-	the missions ask for nothing but shooting (want puzzle minigames)	I also wish they added more mini game options like using a puzzle solver when cutting doors etc.
existing r415 re-homed to production.craftsmanship.the-writing-was-never-edited	1589	gap 46	open-gap	drg-rogue-core	production.craftsmanship.needs-more-work	226821176	-	`production.craftsmanship.the-writing-was-never-edited`	Hundreds of typographical errors in the text, as if they didn't have a person writing or proofreading
built r416 production.craftsmanship.barely-playtested (138168807) and production.craftsmanship.a-parody-of-a-big-budget-game (138543902)	1799	gap 57	open-gap	redfall	production.craftsmanship.needs-more-work	138168807 138543902	-	other unnamed games do this better (maybe just weak .beaten-by-a-competitor)	there's better games for that now.
built r416 production.craftsmanship.placeholder-text-left-in	4375	gap 167	one-sighting	terminull-brigade	production.craftsmanship.the-writing-was-never-edited	216426353	-	items show internal code names instead of player-facing names	
built r416 production.craftsmanship.only-the-licence-holds-it-up	6491	gap 288	open-gap	aliens-fireteam-elite	production.craftsmanship.reads-as-a-cheap-free-to-play-template	213261548	-	the licence is doing all the work; strip it and nothing is left	The Aliens branding is doing all the work. It's mobile shooter quality...
built r416 production.early-access.hopes-the-updates-prove-this-wrong	8629	round 348	one-sighting	risk-of-rain-2	production.early-access.unknown	59456532	-	thumbs-down early-access review hoping the game changes to invalidate it	to invalidate this review
built r416 production.early-access.still-called-unfinished-years-later	9208	round 386	one-sighting	warframe	production.early-access.unknown	7718099	-	the studio still calls the game a beta years in	
built r416 production.launch-state.the-team-was-too-small (the headcount line; the 'launched broken' line stays on shipped-broken)	2289	gap 81	open-gap	redfall	production.launch-state.shipped-broken	220458097	-	team too small (headcount) for the game they were ordered to make	severe understaffing (Less then 100 people worked on this game, AND many old devs left!)
built r416 game-design.level-design.buildings-you-cannot-enter	1865	gap 61	build-on-third	redfall	production.scope-mismatch.wasted-its-potential	138162943 138552886	-	places are scenery you cannot walk into	off-limit housing in an exploration game
built r416 production.scope-mismatch.reads-as-a-changed-plan	5203	gap 222	open-gap	aliens-fireteam-elite	production.scope-mismatch.unknown	112659646	~	game reads as a compromise from a different original plan	it feels like they had a different idea with the game at the start and settled with this.
existing r416 fits production.scope-mismatch.the-potential-is-still-there (the relaunch wish is that claim)	5693	gap 247	open-gap	aliens-fireteam-elite	production.scope-mismatch.the-potential-is-still-there	137970466	~	reviewer asks for the relaunch a named game (Rainbow Six Siege) got	This game has a lot of potential to be relaunched like Rainbow Six Siege
existing r416 already on game-design.progression.build-and-customisation.finding-the-build-yourself-is-the-fun	8621	round 347	one-sighting	risk-of-rain-2	progression.complexity.unknown	55619107	+	discovery is the point, so refuse the guide	hard to find the teleporter at times
existing r416 re-homed to community.player-conduct.the-review-teaches-you-how-to-play	8810	round 364	one-sighting	risk-of-rain-2	progression.complexity.unknown	125546058	~	a review written as a newbie guide	do not stress about time, be an efficient loot goblin, work on unlocks
existing r416 re-homed to game-design.progression.complexity.overwhelming-at-first	8823	round 365	one-sighting	risk-of-rain-2	progression.complexity.unknown	135838735	+	confusion said as praise	don't know what's happening but I like it
built r416 game-design.progression.complexity.the-learning-curve-is-well-paced	8924	round 371	one-sighting	risk-of-rain-2	progression.complexity.unknown	168646742	+	a + judgement on how the learning is paced	learning curve is good
built r416 publishing.availability.one-purchase-covers-two-platforms	2636	gap 96	one-sighting	the-anacrusis	publishing.availability.unknown	130606589	~	cross-buy mode: buy on another storefront and get the PC copy too	just buy on Xbox, you'll get a pc copy too.
built r416 publishing.availability.the-shop-is-blocked-in-my-country	3800	gap 142	one-sighting	terminull-brigade	publishing.availability.unknown	202849884	~	shop switched off in my country by law, game is not; keep neutral	I cannot interact with the monetisation due to the fact I am from the netherlands
built r416 publishing.data-and-privacy.worried-about-account-security	961	gap 23	open-gap	helldivers-2	publishing.data-and-privacy.unknown	165938143	-	`publishing.data-and-privacy.my-account-was-not-kept-safe` (on a first-hand second)	I'm also hearing something about your security vulnerability right now, and that some people are getting hacked
built r416 publishing.data-and-privacy.accused-of-mining-currency	4253	gap 161	watch	terminull-brigade	publishing.data-and-privacy.suspected-of-spying	213980448 213157491 223962180	-	game accused of mining crypto-currency; build on a sighting in a second game	This this is 100% a bitcoin miner
built r416 publishing.data-and-privacy.the-agreement-strips-buyer-rights	4380	gap 172	one-sighting	terminull-brigade	publishing.data-and-privacy.collects-more-than-expected	221339205	-	agreement tries to remove protections the law gives buyers	
built r416 publishing.dlc-and-editions.should-give-the-dlc-away-to-make-amends	4991	gap 214	open-gap	aliens-fireteam-elite	publishing.dlc-and-editions.base-game-too-thin-for-dlc	105423489	-	studio should compensate buyers with free DLC	Devs should give all DLC free for this game to make up for how horrible this experience is.
built r416 publishing.dlc-and-editions.the-add-on-lets-more-people-play	5258	gap 225	open-gap	aliens-fireteam-elite	publishing.dlc-and-editions.content-behind-a-second-purchase	118861323	~	the fix to a long-standing complaint (squad size) is sold as paid content	have too many friends that cant fit in the 3 man squad. (Expansion enables 4 people)
existing r417 re-homed to publishing.monetisation-practice.feels-like-a-cash-grab ('a vehicle for DLC' is built to take money)	6372	gap 283	open-gap	aliens-fireteam-elite	publishing.dlc-and-editions.base-game-too-thin-for-dlc	202151006	-	the base game exists as a vehicle to sell its add-ons	Had great potential but is just a vehicle for dlc. Do not buy.
built r417 publishing.dlc-and-editions.a-paid-pack-is-worth-it-for-the-head-start	6581	gap 294	open-gap	aliens-fireteam-elite	publishing.dlc-and-editions.dlc-is-fair	221337041	+	reviewer recommends buying the paid pack for the progression head start	comes with enough in-game currency for a very good early boost.
built r417 publishing.dlc-and-editions.sold-as-old-style-add-ons	7845	round 306	one-sighting	space-marine-2	publishing.dlc-and-editions.unknown	185057274	+	DLC likened to old CoD map packs, against a battle pass	
existing r417 re-homed to publishing.monetisation-practice.paying-only-shortens-the-grind	8027	round 315	one-sighting	space-marine-2	publishing.dlc-and-editions.unknown	228059310	-	money buys past the cosmetic grind	or you can just buy DLCs that already have top models in them.
built r417 publishing.dlc-and-editions.got-only-part-of-the-add-on	8507	round 335	one-sighting	remnant-2	publishing.dlc-and-editions.unknown	176116565	-	bought the DLC, got half of it (left neutral: bug or edition confusion)	with this latest dlc, i got the boss rush mode but not the storyline for campaign/adventure.
built r417 game-design.new-player-experience.dropped-into-the-add-on-first	8564	round 340	one-sighting	remnant-2	publishing.dlc-and-editions.unknown	206818675	-	the game started them inside the DLC instead of the base campaign	
existing r417 re-homed to live-ops.patch-quality.made-it-worse	8660	round 352	one-sighting	risk-of-rain-2	publishing.dlc-and-editions.unknown	75245394	-	rough patches in the Seekers DLC onwards (Gearbox-era)	rough patches in the Seekers DLC onwards
existing r417 re-homed to narrative.world-and-setting.breaks-its-own-fiction	8964	round 373	one-sighting	risk-of-rain-2	publishing.dlc-and-editions.unknown	181184333	-	the latest DLC does not fit the established theme	the latest DLC doesn't seem to fit in well with the established theme
built r417 publishing.dlc-and-editions.a-weaker-add-on-still-welcome	9059	round 377	one-sighting	risk-of-rain-2	publishing.dlc-and-editions.unknown	200469362	~	a DLC let-down excused in the same breath	SOTS DLC was kinda a let down, but it's still more content
built r417 publishing.dlc-and-editions.pricey-but-worth-it	9098	round 379	one-sighting	risk-of-rain-2	publishing.dlc-and-editions.unknown	215438049	~	DLC a bit pricey but really cool	dlc is a bit pricey but is really cool
built r417 publishing.dlc-and-editions.pricey-but-worth-it	9122	round 380	one-sighting	risk-of-rain-2	publishing.dlc-and-editions.unknown	223335550	~	DLC price as a mild caveat	the dlcs are a bit of money but it is good
built r417 publishing.dlc-and-editions.pricey-but-worth-it	9122	round 380	one-sighting	risk-of-rain-2	publishing.dlc-and-editions.unknown	224998148	~	DLC price as a mild caveat	the dlcs are a bit of money but it is good
built r417 publishing.monetisation-practice.the-pass-does-not-pay-for-the-next	3835	gap 144	one-sighting	terminull-brigade	publishing.monetisation-practice.unknown	202390416	-	finishing the battle pass returns no currency toward the next pass	ANY currency in which you can use to purchase another battle pass later
built r417 publishing.ownership.the-owner-is-not-disclosed	4297	gap 164	one-sighting	terminull-brigade	publishing.ownership.owner-puts-players-off	213157491	-	owner/funder not disclosed on the store page	doesn't disclose that they are even partially funded by Tencent in the Steam page
built r417 publishing.ownership.put-off-by-the-country-it-comes-from	4382	gap 174	one-sighting	terminull-brigade	publishing.ownership.owner-puts-players-off	220325602	-	game dismissed by the country it was made in	
built r417 publishing.ownership.dislikes-the-owner (bullet reworded to 'a jab')	8804	round 364	one-sighting	risk-of-rain-2	publishing.ownership.unknown	129132146	~	owner cursed but the game still recommended	[a jab at the owner's named head and Take-Two]
existing r417 stays on publishing.ownership.unknown (one word, no verdict)	8850	round 367	one-sighting	risk-of-rain-2	publishing.ownership.unknown	141559948	-	gearbox, one word, thumbs-down	gearbox
built r417 publishing.ownership.dislikes-the-owner	8966	round 373	watch	risk-of-rain-2	publishing.ownership.unknown	177125124	~	owner (Gearbox) raised without fitting a built mode - owner tally "raised"	[a jab at the owner's named head]
built r417 publishing.ownership.dislikes-the-owner (bullet reworded to 'a jab')	8966	round 373	watch	risk-of-rain-2	publishing.ownership.unknown	177611446	-	owner (Gearbox) raised without fitting a built mode - owner tally "raised"	[a jab at the owner's named head]
built r417 publishing.ownership.the-new-owner-cares-less-than-the-makers	8990	round 374	watch	risk-of-rain-2	publishing.ownership.unknown	182854034	~	owner (Gearbox) raised without fitting a built mode - owner tally "raised" (still recommends)	Hopoo gave the IP to Gearbox, who haven't poured the same love and care
open	9030	round 376	watch	risk-of-rain-2	publishing.ownership.unknown	196660257	-	owner (Gearbox) raised without fitting a built mode - owner tally "raised"	a greasy publisher owned by a very scummy company
open	1535	gap 43	open-gap	drg-rogue-core	publishing.price.unknown	226888173	-	loyalty discount for owning the previous game is too small	only 3€ discount for veterans is a slap to the face
open	2040	gap 70	open-gap	redfall	publishing.price.too-high-for-what-it-is	150163099	-	price fell so fast launch buyers were the ones who paid	Now the game is $40 with no DLC. People got completely ripped off!
open	6096	gap 265	open-gap	aliens-fireteam-elite	publishing.price.unknown	173874895	?	the reviewer works out a price per hour as the verdict	I beat the main story in 10 hours. I bought the game for 10$. This game is literally worth 1$ an hour.
open	6429	gap 265	open-gap	aliens-fireteam-elite	publishing.price.unknown	196599011	-	possible second sighting of gap 265 (price per hour): arcade-quarters analogy, held open	So glad I only paid $7. I suppose that's about right in quarters at an arcade console
open	6738	gap 304	open-gap	aliens-fireteam-elite	publishing.sale-dependency.buy-on-sale-only	229190054	-	the discount arrived after the game had died	too bad it took so long to be discounted. As the playerbase is dead now.
open	7679	round 299	one-sighting	space-marine-2	publishing.sale-dependency.unknown	176116366	-	buy-timing mode: wait for the patch state, not the discount	I highly recommend waiting for the developers to fix these issues before purchasing.
open	8502	round 335	one-sighting	remnant-2	punishment-model.unknown	178581678	-	punishment-model.dying-makes-the-next-try-harder	every time you die in area there's a chance for even stronger mini boss that can spawn.
open	8614	round 346	one-sighting	risk-of-rain-2	randomness.unknown	51241196	-	a red item that turns out to be a dud	
open	8669	round 353	one-sighting	risk-of-rain-2	refund.unknown	78037782	+	the refund window as a sales argument	
open	7661	round 298	watch	space-marine-2	repetitive	175776374	-	pacing mode: the level pads itself with rides and walks	up the same lifts
open	9284	round 392	one-sighting	warframe	replayability.unknown	14471201	~	the game goes from fun to boring to fun in a loop	from fun to boring to fun
open	2110	gap 72	open-gap	redfall	review.thumb-is-a-protest-vote	167599060	?	reviewer rallying others to give thumbs up to message the owner	If you like the game at least a little, give it a thumbs up
open	2897	gap 107	one-sighting	the-anacrusis	review.i-never-write-reviews-and-wrote-this-one	138104106	~	reviewer keeps a standardised house template across all their reviews	Standardized layout across all reviews.
open	2976	gap 109	one-sighting	the-anacrusis	review.unknown	153020841	~	reviewer uses own review to rebut another review's factual claim	steam achievement statistics do not, in fact, update in real time.
open	3684	gap 136	one-sighting	terminull-brigade	review.unknown	202010018	~	reviewer discloses a language model proofread the review	I wrote a review and slapped it into chatgpt for proofreading.
open	3703	gap 137	one-sighting	terminull-brigade	review.unknown	201988059	~	verdict extended to content the reviewer never played (watched creators)	Took the time to watch a few content creators that are further into the game
open	4150	gap 157	one-sighting	terminull-brigade	review.unknown	213226072	~	review is a running ledger of the reward waves (orbs), not the game	i will be updating this every time it's used for orbs
open	4451	gap 181	watch	terminull-brigade	review.unknown	229578207	?	review body is about a different game (data-quality fact)	
open	4574	gap 190	build-on-third	aliens-fireteam-elite	review.unknown	99415093	~	the real review is on the reviewer's own site; Steam text is a pointer	my full review is on my site
open	5353	gap 232	open-gap	aliens-fireteam-elite	review.unknown	120700957	?	reviewer went back to the source to settle a claim against other reviewers	if you don't believe me rewatch the movie and count the amount and length of action scenes - I did
open	5461	gap 237	open-gap	aliens-fireteam-elite	review.unknown	125469181	?	reviewer asks other players for help in the review (inverse of players-teach-each-other-the-fix)	Anyone have any ideas whats going on?
open	5767	gap 252	open-gap	aliens-fireteam-elite	review.unknown	145398249	?	the whole review is written in character, nothing about the product	[Incoming Transmission...] This is Colonial Marine unit [REDACTED] aboard the Katanga...
open	5801	gap 254	open-gap	aliens-fireteam-elite	review.unknown	153050119	-	other players (community) defend the missing feature / the studio	pathetic excuse from players why it's missing.
open	6039	gap 264	open-gap	aliens-fireteam-elite	review.thumb-contradicts-text	170576202	~	thumb down over one explained design decision in a game called amazing	Game is amazing, why the thumbs down? 3 players?!?! In 2024, when you think co-op shooter, you think 4
open	6107	gap 266	open-gap	aliens-fireteam-elite	review.unknown	175061599	+	the review points at a video to make its case for buying	check out 'ALIENS Fireteam Elite - A Love Story' on YouTube.
open	6148	gap 269	open-gap	aliens-fireteam-elite	review.unknown	179057030	~	the money is worth it and the time is not	The game is worth your money, but its currently not worth your time?
open	6312	gap 279	open-gap	aliens-fireteam-elite	review.unknown	195447402	?	the reviewer apologises for how their own writing reads (sounds like AI)	Finally, I apologize if my English sounds like AI.
open	6516	gap 290	open-gap	aliens-fireteam-elite	review.unknown	214774513	?	the whole review is a link (URL to a screenshot), no claim	
open	6713	gap 302	open-gap	aliens-fireteam-elite	review.unknown	228598427	?	the review says who it is written for (newcomers)	Note: This review is for someone just entering the game for the first time.
open	6806	gap 309	open-gap	immortal-unchained	review.promotes-the-reviewers-own-curator-page	44984444	?	the reviewer was given the game (disclosed review copy from developer)	Review copy provided by developer
open	7197	gap 334	one-sighting	arc-raiders	review.thumb-is-a-protest-vote	209801698	-	refuses to support a game made with generative AI, whatever its quality	I cannot support this and it is actively ruining gaming, taking away jobs
open	7304	gap 338	watch	arc-raiders	review.unknown	218339519	?	takes a side in the streamer ban dispute; says nothing about the studio	Peaachxo [X] NessieDoes [✓]
open	7358	gap 338	watch	arc-raiders	review.unknown	222774359	?	third mention of the streamer ban dispute, nothing about the studio	Justice for Nessie
open	8581	round 342	one-sighting	remnant-2	review.unknown	223301401	~	the reviewer posted the same text under both Remnant games	
open	8629	round 348	one-sighting	risk-of-rain-2	review.unknown	56724222	~	the reviewer says their thumb will be buried and not read	to invalidate this review
open	8555	round 339	one-sighting	remnant-2	review.negative.unknown	203815579	-	refuses community fixes on principle	
open	1988	gap 67	open-gap	redfall	review.positive.unknown	138654399	?	so bad it's good - likes the game because its design is bad	To be honest this game is really bad but that's why I like it.
open	8573	round 341	one-sighting	remnant-2	review.positive.unknown	217277338	~	review reads like a store blurb, 0 hours played	
open	8854	round 367	watch	risk-of-rain-2	role-design.unknown	142162830	-	Commando complaint with no reason given	commando sukz
open	9153	round 382	watch	risk-of-rain-2	role-design.unknown	235158351	+	a defence of Commando (Commando tally)	says that commando is somehow the worst character
open	8623	round 347	watch	risk-of-rain-2	rough-in-places	55007934	-	the first game had X pattern (Rico-open) - more charm and magic in the art	
open	8022	round 315	one-sighting	space-marine-2	scope-mismatch.unknown	228059310	-	.tries-to-be-too-many-games-at-once	a horde shooter like the tide series, a hero shooter and a daily/weekly grind game
open	8660	round 352	one-sighting	risk-of-rain-2	servers.unknown	73939867	-	only problem is the servers	rough patches in the Seekers DLC onwards
open	8325	round 327	watch	remnant-2	shallow-options	150195079	-	marketing.positioning.the-sequel-dropped-something-the-first-game-had (pattern; Rico's call) - armour set perks gone	
open	8623	round 347	watch	risk-of-rain-2	successor-framing-accepted	54909270	+	the first game had X pattern (Rico-open) - the sequel fixed the labyrinthine maps (improvement)	
open	8721	round 358	one-sighting	risk-of-rain-2	the-abilities-are-no-fun-to-use	101996582	-	some survivors feel too simple; too few abilities	some survivors feel too simple, wish they had more abilities
open	8597	round 344	one-sighting	remnant-2	unfair-spawns	232251822	-	zero enemy placement design: quiet, then spawns behind you on a music cue	like ChatGPT before ChatGPT
open	8574	round 341	watch	remnant-2	unlock-pace.the-cap-stops-you-short	217281349	-	the first game had X pattern: marketing.positioning.the-sequel-dropped-something-the-first-game-had (Rico-open) - trait points maxed everything	
open	8606	round 345	one-sighting	risk-of-rain-2	user-created-content.unknown	50534342	-	an update broke the mods	
open	8071	round 317	one-sighting	remnant-2	world-interaction.unknown	143172124	-	the interact key picks the wrong target (ammo instead of revive)	or if some ammo is nearby and you pick up the ammo instead of ressing them.
open	8547	round 338	one-sighting	remnant-2	world-interaction.unknown	198583201	-	must wait for the NPC's idle animation to finish before interacting	
skip: joke	1280	gap 33	joke	helldivers-2	accessibility.unknown	214774240	+	the play itself suits the player's own condition (ADHD); possibly a subject	Pure chaos. Soothes ADHD braincells
skip: needs a new subject (Rico)	4349	round 210	needs-new-subject	terminull-brigade	accessibility.unknown	217246854	-	new accessibility subject for motion sickness / physical reaction to how the picture moves	even gives me motion sickness
skip: needs a new subject (Rico)	4435	round 211	needs-new-subject	terminull-brigade	accessibility.unknown	219828133	-	second sighting for motion-sickness/physical-reaction accessibility subject	the game has stuttered heavily, making playing the game headache inducing.
check: gap closed but bullet still on parked tag	2934	gap 92	closed-built	the-anacrusis	accessibility.hearing.unknown	117387804	-	built accessibility.hearing.the-subtitles-do-not-match-the-speech	even if they do show up out of sync with what is being said.
check: gap closed but bullet still on parked tag	4518	gap 184	closed-built	aliens-fireteam-elite	art.atmosphere.falls-flat	98954260	-	built narrative.world-and-setting.does-not-feel-like-the-source-it-adapts	It makes you wonder why it has the Alien IP at all
skip: joke	7659	round 298	joke	space-marine-2	community.culture.shared-ritual	176119107	-	joke about the parry timing	The Emperor Protects as long as you press the right button at the right time
check: gap closed but bullet still on parked tag	729	gap 17	closed-built	helldivers-2	community.developer-communication.listens-and-acts	164954987	+	`community.developer-communication.studio-stood-with-us-against-the-owner`	THE DEVS ARE GOATS. They supported us against AAA Sony.
check: gap closed but bullet still on parked tag	2914	gap 86	closed-built	the-anacrusis	community.developer-communication.listens-and-acts	146072452 108031523	~	built review.kept-as-a-ledger-of-what-the-studio-fixed	Finally, the update that makes promise on improved audio.
check: gap closed but bullet still on parked tag	3934	gap 148	closed-built	terminull-brigade	community.developer-communication.written-to-the-studio-not-to-the-buyer	202556859	-	built publishing.monetisation-practice.asks-to-be-sold-it-outright	Just make a paid model
skip: needs a new subject (Rico)	8170	round 321	needs-new-subject	remnant-2	community.developer-communication.unknown	144288399	-	no support channel from the publisher (publisher-communication split open with Rico)	Their is no support listed on Gearbox's website and steam just recommends articles.
skip: needs a new subject (Rico)	8432	round 332	needs-new-subject	remnant-2	community.developer-communication.support-request-went-unanswered	163945354	-	publisher support absent (publisher-communication split open with Rico)	Online help from ARC is a ghost town.
check: gap closed but bullet still on parked tag	5013	gap 198	closed-built	aliens-fireteam-elite	community.social-features.cannot-communicate	108073875	+	community.social-features.the-missing-chat-keeps-it-civil	does cut down on the chit chat
skip: Rico ruled	118	gap 4	rico-ruled	deep-rock-galactic	community.user-created-content.mods-extend-the-game	233552170	-	accessibility subjects for upsetting content (phobia, trauma, addiction, self-harm, mental-health-portrayal)	not the type of game you wanna play when you have a severe case of arachniphobia
check: gap closed but bullet still on parked tag	7489	round 290	closed-built	space-marine-2	game-design.enemy-design.unknown	174563824	-	hated enemy named (Chaos Spawns) without saying what it does wrong	
check: gap closed but bullet still on parked tag	7637	round 297	closed-built	space-marine-2	game-design.enemy-design.unknown	175773867	-	hated enemy (Chaos Spawns) still overtuned	
check: gap closed but bullet still on parked tag	7637	round 297	closed-built	space-marine-2	game-design.enemy-design.unknown	175207340	-	hated enemy faction (Chaos) with no reason given	
skip: joke	8613	round 346	joke	risk-of-rain-2	game-design.enemy-design.unknown	51241196	-	one named enemy cursed without a reason (hermit crabs)	would try to dodge the beam again
skip: joke	8613	round 346	joke	risk-of-rain-2	game-design.enemy-design.unknown	54395163	-	one named enemy cursed without a reason (Stone Titans)	would try to dodge the beam again
skip: joke	8613	round 346	joke	risk-of-rain-2	game-design.enemy-design.unknown	54395510	-	one-shot by the Stone Titan's "meme beam"	would try to dodge the beam again
skip: needs a new subject (Rico)	5779	round 227	needs-new-subject	aliens-fireteam-elite	game-design.game-feel.camera.narrow-view-is-a-handicap	146345676	-	accessibility subject (open with Rico): physical reaction, dizziness from narrow FoV	You have to download a mod to make it more bearable and not feel claustrophobic and dizzy.
skip: needs a new subject (Rico)	5834	round 228	needs-new-subject	aliens-fireteam-elite	game-design.game-feel.camera.narrow-view-is-a-handicap	153050119	-	accessibility subject (open with Rico): eye strain from missing FOV slider	After a short session of the game you eyes literally starts to hurt.
check: gap closed but bullet still on parked tag	7500	gap 349	closed-built	space-marine-2	game-design.game-feel.combat.unknown	174828489	-	.never-makes-you-feel-as-strong-as-the-fiction-says	The game is easy without you ever feeling powerful or like a Space Marine.
check: gap closed but bullet still on parked tag	7924	round 310	closed-built	space-marine-2	game-design.game-feel.combat.unknown	203836847	-	forced to alternate melee and ranged	you have to use both forms of combat in order to succeed
skip: joke	6505	gap 289	joke	aliens-fireteam-elite	game-design.pacing.unknown	211354457	-	the game needs a second screen to hold your attention	UNLESS YOU HAVE TIKTOK READILY AVAILABLE, DO NOT BUY THIS.
skip: needs a new subject (Rico)	8485	round 334	needs-new-subject	remnant-2	game-design.power-balance.options-feel-identical	175574627	-	relic/accessory increments too small to feel (a loot subject would split them)	wow, i can hold 1.34% more ammo, cool
skip: needs a new subject (Rico)	8486	round 334	needs-new-subject	remnant-2	game-design.power-balance.options-feel-identical	173099574	-	relic/accessory increments too small to feel (a loot subject would split them)	Accessories, while plentiful, offer only minor effects most of the time.
skip: needs a new subject (Rico)	8487	round 334	needs-new-subject	remnant-2	game-design.power-balance.options-feel-identical	155511319	-	relic/accessory increments too small to feel (a loot subject would split them)	
skip: needs a new subject (Rico)	8529	round 336	needs-new-subject	remnant-2	game-design.power-balance.some-options-are-useless	187405015	-	loot-subject evidence (needs game-design.loot subject, open with Rico) - rings as filler	way too many rings
check: gap closed but bullet still on parked tag	6477	gap 280	closed-built	aliens-fireteam-elite	game-design.progression.achievements.unknown	195447402	-	game-design.progression.achievements.only-repetition-completes-the-set	
check: gap closed but bullet still on parked tag	4529	gap 186	closed-built	aliens-fireteam-elite	game-design.progression.cosmetic-rewards.unknown	98587457	-	built game-design.progression.cosmetic-rewards.too-few-to-choose-from	
skip: needs a new subject (Rico)	5002	round 218	needs-new-subject	aliens-fireteam-elite	game-design.progression.unlock-pace.grind-feels-earned	102803296	+	missing game-design.loot subject: verdict on drop frequency and drop quality	Loot is a hard earned reward, as opposed to other games which constantly interrupt game-play by burying you with [junk] gear
skip: needs a new subject (Rico)	5365	round 222	needs-new-subject	aliens-fireteam-elite	game-design.progression.unlock-pace.satisfying-progression	120237242	+	missing game-design.loot subject: loot placement, signalling, survives a failed run	There is a 'Hidden Cache' loot in every mission to collect a nice additional bonus for mission complition
check: gap closed but bullet still on parked tag	7683	round 299	closed-built	space-marine-2	game-design.progression.unlock-pace.slow-start	176115434	-	the defensive move only works once upgraded	Countering barely works unless you have leveled your stats.
skip: needs a new subject (Rico)	8265	round 325	needs-new-subject	remnant-2	game-design.progression.unlock-pace.every-unlock-is-a-sideways-swap	146811389	+	loot that is never a numbered upgrade (praise; missing game-design.loot subject with Rico)	you never go from a level 10 blue shotgun to a level 11 purple shotgun
check: gap closed but bullet still on parked tag	8621	round 347	closed-built	risk-of-rain-2	game-design.progression.unlock-pace.unknown	55007934	-	essential items locked behind hard challenges	hard to find the teleporter at times
skip: needs a new subject (Rico)	4416	gap 169	needs-new-subject	terminull-brigade	game-design.ui-ux.missing-quality-of-life	216458142 223751951	-	new game-design.loot subject for drop quality; Rico's call	No, I don't want to equip that 16th piece of armor that has no relation to my element/damage type
check: gap closed but bullet still on parked tag	4673	gap 194	closed-built	aliens-fireteam-elite	game-design.ui-ux.hides-information	100234073	-	built game-design.ui-ux.does-not-show-what-is-left-to-earn	No indications of hidden guns or perks left to unlock.
skip: needs a new subject (Rico)	7156	gap 331	needs-new-subject	arc-raiders	game-design.ui-ux.missing-quality-of-life	209074145	-	inventory stack sizes are too small	the amount of items in a stack for most things in the game are incredibly low
skip: needs a new subject (Rico)	8582	round 342	needs-new-subject	remnant-2	game-design.ui-ux.managing-the-inventory-is-a-chore	223852717	-	loot-subject evidence (needs game-design.loot subject, open with Rico) - 500 rings, hard to keep track	
skip: joke	8738	round 359	joke	risk-of-rain-2	keeps-pulling-you-back	102848828	+	the encyclopaedia entry for dopamine pasted as the review	
check: gap closed but bullet still on parked tag	2004	gap 68	closed-built	redfall	live-ops.abandonment.updates-stopped	139653665	-	owner blamed for abandoning it (second home production.launch-state.rushed-out-by-the-owner)	i dont blame arcane for this, this was all on xbox
skip: Rico ruled	351	gap 7	rico-ruled	deep-rock-galactic	marketing.expectation-management.let-me-try-before-buying	216641057	~	`marketing.discovery.came-through-a-subscription`	gamepasss ran out so now playing on steam. Great game
check: gap closed but bullet still on parked tag	1847	gap 60	closed-built	redfall	marketing.promise-vs-reality.delivered-less-than-promised	138538137	-	`engineering.matchmaking.no-public-matchmaking`	this game was marketed as a co-op experience, but there is no public matchmaking.
